#,FORM #,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,Who-1,Url-1,Technology-1,Language-1,Site description-1,Country-1,Start Date-1,End Date-1,FIRST NAME,LAST NAME,EMAIL,APPROVED,VERIFIED
3465,1,https://uraniaexpedition.crowdmap.com,2014-11-27 09:21:00,unknown,https://uraniaexpedition.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3462,1,https://yccgaza.crowdmap.com,2014-11-27 09:21:00,unknown,https://yccgaza.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3445,1,http://boston911.crowdmap.com,2014-11-27 09:21:00,unknown,http://boston911.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3439,1,https://gratitude.crowdmap.com,2014-11-27 09:21:00,unknown,https://gratitude.crowdmap.com,"uncategorised,Crowdmap,large",0,0,,,,,,,,,,,,YES,NO
3426,1,https://museosgaliza.crowdmap.com,2014-11-27 09:21:00,unknown,https://museosgaliza.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3427,1,http://roanokefor.me,2014-11-27 09:21:00,unknown,http://roanokefor.me,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
3422,1,https://paradasautobuspublicolorca.crowdmap.com,2014-11-27 09:21:00,unknown,https://paradasautobuspublicolorca.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3419,1,http://solarenergy.crowdmap.com,2014-11-27 09:21:00,unknown,http://solarenergy.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3401,1,http://spreadsheet.crowdmap.com,2014-11-27 09:21:00,unknown,http://spreadsheet.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3394,1,http://www.illwind.org,2014-11-27 09:21:00,unknown,http://www.illwind.org,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
3382,1,http://activate-les.com/crowd-map,2014-11-27 09:21:00,unknown,http://activate-les.com/crowd-map,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
3365,1,https://plazasbcn.crowdmap.com,2014-11-27 09:21:00,unknown,https://plazasbcn.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3357,1,https://ict4peace.crowdmap.com,2014-11-27 09:21:00,unknown,https://ict4peace.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3351,1,http://www.myannahar.com,2014-11-27 09:21:00,unknown,http://www.myannahar.com,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
3343,1,http://plunderedart.crowdmap.com,2014-11-27 09:21:00,unknown,http://plunderedart.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3344,1,https://eleccion2012.crowdmap.com,2014-11-27 09:21:00,unknown,https://eleccion2012.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3341,1,http://socialmedia132.crowdmap.com,2014-11-27 09:21:00,unknown,http://socialmedia132.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3338,1,http://greenworcester.crowdmap.com,2014-11-27 09:21:00,unknown,http://greenworcester.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3322,1,https://socialmedical.crowdmap.com,2014-11-27 09:21:00,unknown,https://socialmedical.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3316,1,http://vegin.crowdmap.com,2014-11-27 09:21:00,unknown,http://vegin.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3313,1,https://earl.crowdmap.com,2014-11-27 09:21:00,unknown,https://earl.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3309,1,https://december18.crowdmap.com,2014-11-27 09:21:00,unknown,https://december18.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3310,1,https://unesco4sidsen.crowdmap.com,2014-11-27 09:21:00,unknown,https://unesco4sidsen.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3301,1,https://penisolasorrentina.crowdmap.com,2014-11-27 09:21:00,unknown,https://penisolasorrentina.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3286,1,https://fixmystreettest.crowdmap.com,2014-11-27 09:21:00,unknown,https://fixmystreettest.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3287,1,https://campaignendorsements.crowdmap.com,2014-11-27 09:21:00,unknown,https://campaignendorsements.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3268,1,https://malagaep14.crowdmap.com,2014-11-27 09:20:00,unknown,https://malagaep14.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3256,1,http://collegeendowments.crowdmap.com,2014-11-27 09:20:00,unknown,http://collegeendowments.crowdmap.com,"uncategorised,Crowdmap,large",0,0,,,,,,,,,,,,YES,NO
3241,1,https://lakadlakaddin.crowdmap.com,2014-11-27 09:20:00,unknown,https://lakadlakaddin.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3230,1,https://aniruddhagunasankirtan.crowdmap.com,2014-11-27 09:20:00,unknown,https://aniruddhagunasankirtan.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3232,1,http://busbomb.crowdmap.com,2014-11-27 09:20:00,unknown,http://busbomb.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3228,1,https://aidreport.crowdmap.com,2014-11-27 09:20:00,unknown,https://aidreport.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3219,1,https://kosovo.crowdmap.com,2014-11-27 09:20:00,unknown,https://kosovo.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3207,1,https://giditraffic.crowdmap.com,2014-11-27 09:20:00,unknown,https://giditraffic.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3206,1,http://fmddisease.crowdmap.com,2014-11-27 09:20:00,unknown,http://fmddisease.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3197,1,http://cdrpberyltest.crowdmap.com,2014-11-27 09:20:00,unknown,http://cdrpberyltest.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3188,1,http://www.funespar.org/projetofauna/alerta,2014-11-27 09:20:00,unknown,http://www.funespar.org/projetofauna/alerta,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
3184,1,https://aparcabarna.crowdmap.com,2014-11-27 09:20:00,unknown,https://aparcabarna.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3175,1,http://iplintern.crowdmap.com,2014-11-27 09:20:00,unknown,http://iplintern.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3164,1,https://paradesdetaxi.crowdmap.com,2014-11-27 09:20:00,unknown,https://paradesdetaxi.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3149,1,http://theclash.crowdmap.com,2014-11-27 09:20:00,unknown,http://theclash.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3137,1,http://www.isawharassment.org/ishmap,2014-11-27 09:20:00,unknown,http://www.isawharassment.org/ishmap,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
3113,1,https://humanityroad.crowdmap.com,2014-11-27 09:20:00,unknown,https://humanityroad.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3108,1,http://www.crisisconnection.info/sandbox/dev/droid,2014-11-27 09:20:00,unknown,http://www.crisisconnection.info/sandbox/dev/droid,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
3089,1,http://he.kifaya.org.il,2014-11-27 09:20:00,unknown,http://he.kifaya.org.il,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
3077,1,https://comuneriminiemergenze.crowdmap.com,2014-11-27 09:20:00,unknown,https://comuneriminiemergenze.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3060,1,https://sustainablecity.crowdmap.com,2014-11-27 09:20:00,unknown,https://sustainablecity.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3062,1,http://www.moldovanwine.net,2014-11-27 09:20:00,unknown,http://www.moldovanwine.net,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
3041,1,http://ubimark.info/map,2014-11-27 09:19:00,unknown,http://ubimark.info/map,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
3034,1,https://wellbeing.crowdmap.com,2014-11-27 09:19:00,unknown,https://wellbeing.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3031,1,https://migrantforuminasia.crowdmap.com,2014-11-27 09:19:00,unknown,https://migrantforuminasia.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3024,1,https://glwsmap.crowdmap.com,2014-11-27 09:19:00,unknown,https://glwsmap.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3018,1,http://aulanesplora.com/clientes,2014-11-27 09:19:00,unknown,http://aulanesplora.com/clientes,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
2999,1,https://tracking.crowdmap.com,2014-11-27 09:19:00,unknown,https://tracking.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2957,1,http://youthmovement.crowdmap.com,2014-11-27 09:19:00,unknown,http://youthmovement.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2959,1,https://neweconomics.crowdmap.com,2014-11-27 09:19:00,unknown,https://neweconomics.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2951,1,http://ithinkdigital.com/ushahidi,2014-11-27 09:19:00,unknown,http://ithinkdigital.com/ushahidi,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
2943,1,http://churches.thepowerofu.com,2014-11-27 09:19:00,unknown,http://churches.thepowerofu.com,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
2940,1,https://aparcamientosenbarcelona.crowdmap.com,2014-11-27 09:19:00,unknown,https://aparcamientosenbarcelona.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2936,1,http://vigilanciaysalud.com/plataforma,2014-11-27 09:19:00,unknown,http://vigilanciaysalud.com/plataforma,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
2930,1,https://bc98155test.crowdmap.com,2014-11-27 09:19:00,unknown,https://bc98155test.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2928,1,https://osservatoriobraccianti.crowdmap.com,2014-11-27 09:19:00,unknown,https://osservatoriobraccianti.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2924,1,http://www.iwitness-nigeria.com,2014-11-27 09:19:00,unknown,http://www.iwitness-nigeria.com,"uncategorised,Ushahidi,very large",0,0,,,,,,,,,,,,YES,NO
2916,1,http://mecosysteme.crowdmap.com,2014-11-27 09:19:00,unknown,http://mecosysteme.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2918,1,http://www.godsrealmiracles.com,2014-11-27 09:19:00,unknown,http://www.godsrealmiracles.com,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
2904,1,https://the601habit.crowdmap.com,2014-11-26 20:47:00,unknown,https://the601habit.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2896,1,https://supportforkenya.crowdmap.com,2014-11-26 20:47:00,unknown,https://supportforkenya.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2890,1,https://solarcanvassing.crowdmap.com,2014-11-26 20:47:00,unknown,https://solarcanvassing.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2873,1,https://mapasmugi.crowdmap.com,2014-11-26 20:47:00,unknown,https://mapasmugi.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2856,1,https://mamas.crowdmap.com,2014-11-26 20:47:00,unknown,https://mamas.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2852,1,http://www.comeonline.net/cyclone,2014-11-26 20:47:00,unknown,http://www.comeonline.net/cyclone,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
2845,1,http://pcasp.crowdmap.com,2014-11-26 20:47:00,unknown,http://pcasp.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2832,1,https://whereismyhat.crowdmap.com,2014-11-26 20:47:00,unknown,https://whereismyhat.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2808,1,https://offthegridproject.crowdmap.com,2014-11-26 20:47:00,unknown,https://offthegridproject.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2798,1,http://bogotasegura.crowdmap.com,2014-11-26 20:47:00,unknown,http://bogotasegura.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2788,1,https://december182012.crowdmap.com,2014-11-26 20:47:00,unknown,https://december182012.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2790,1,https://vivalarevolucion.crowdmap.com,2014-11-26 20:47:00,unknown,https://vivalarevolucion.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2791,1,http://frameworkapplications.com/argentina/ush,2014-11-26 20:47:00,unknown,http://frameworkapplications.com/argentina/ush,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
2785,1,http://maps.meshcities.com,2014-11-26 20:47:00,unknown,http://maps.meshcities.com,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
2787,1,http://salonchemicals.crowdmap.com,2014-11-26 20:47:00,unknown,http://salonchemicals.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2779,1,http://www.smssekou.org,2014-11-26 20:47:00,unknown,http://www.smssekou.org,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
2771,1,http://samabaat.org/temoignage,2014-11-26 20:47:00,unknown,http://samabaat.org/temoignage,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
2774,1,https://hamiltondhi.crowdmap.com,2014-11-26 20:47:00,unknown,https://hamiltondhi.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2769,1,https://projectremembrance911.crowdmap.com,2014-11-26 20:47:00,unknown,https://projectremembrance911.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2767,1,https://fgiron.crowdmap.com,2014-11-26 20:47:00,unknown,https://fgiron.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2760,1,http://siklonprep.crowdmap.com,2014-11-26 20:47:00,unknown,http://siklonprep.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2759,1,https://atlascorpsfellows.crowdmap.com,2014-11-26 20:47:00,unknown,https://atlascorpsfellows.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2752,1,https://playas.crowdmap.com,2014-11-26 20:47:00,unknown,https://playas.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2753,1,https://articultores.crowdmap.com,2014-11-26 20:47:00,unknown,https://articultores.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2754,1,http://mainriver.crowdmap.com,2014-11-26 20:47:00,unknown,http://mainriver.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2755,1,https://iq9de.crowdmap.com,2014-11-26 20:47:00,unknown,https://iq9de.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2751,1,https://somalipirates.crowdmap.com,2014-11-26 20:47:00,unknown,https://somalipirates.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2745,1,https://scce.crowdmap.com,2014-11-26 20:47:00,unknown,https://scce.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2746,1,https://pruebabicibarcelona.crowdmap.com,2014-11-26 20:47:00,unknown,https://pruebabicibarcelona.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2733,1,https://homegrown.crowdmap.com,2014-11-26 20:47:00,unknown,https://homegrown.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2705,1,http://geomk.crowdmap.com,2014-11-26 20:47:00,unknown,http://geomk.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2701,1,http://dev.caminosdelavilla.org,2014-11-26 20:46:00,unknown,http://dev.caminosdelavilla.org,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
2694,1,https://womenwarandpeace.crowdmap.com,2014-11-26 20:46:00,unknown,https://womenwarandpeace.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2690,1,http://www.takebackthetech.net/mapit,2014-11-26 20:46:00,unknown,http://www.takebackthetech.net/mapit,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
2688,1,https://notalone.crowdmap.com,2014-11-26 20:46:00,unknown,https://notalone.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2680,1,http://remex.crowdmap.com,2014-11-26 20:46:00,unknown,http://remex.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2668,1,http://techclass.crowdmap.com,2014-11-26 20:46:00,unknown,http://techclass.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2666,1,https://tech4africa.crowdmap.com,2014-11-26 20:46:00,unknown,https://tech4africa.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2651,1,https://unitedmethodistchurch.crowdmap.com,2014-11-26 20:46:00,unknown,https://unitedmethodistchurch.crowdmap.com,"uncategorised,Crowdmap,large",0,0,,,,,,,,,,,,YES,NO
2652,1,https://spamguard.crowdmap.com,2014-11-26 20:46:00,unknown,https://spamguard.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2649,1,http://dmaten.crowdmap.com,2014-11-26 20:46:00,unknown,http://dmaten.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2640,1,https://bicingbarma.crowdmap.com,2014-11-26 20:46:00,unknown,https://bicingbarma.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2642,1,http://vbprueba.crowdmap.com,2014-11-26 20:46:00,unknown,http://vbprueba.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2633,1,https://latura.crowdmap.com,2014-11-26 20:46:00,unknown,https://latura.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2628,1,https://autobusesdiurnos.crowdmap.com,2014-11-26 20:46:00,unknown,https://autobusesdiurnos.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2631,1,http://ie.ushahidi.com,2014-11-26 20:46:00,unknown,http://ie.ushahidi.com,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
2616,1,http://whba1990.crowdmap.com,2014-11-26 20:46:00,unknown,http://whba1990.crowdmap.com,"uncategorised,Crowdmap,large",0,0,,,,,,,,,,,,YES,NO
2619,1,https://expoudlap.crowdmap.com,2014-11-26 20:46:00,unknown,https://expoudlap.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2612,1,https://saudepopulacaonegra.crowdmap.com,2014-11-26 20:46:00,unknown,https://saudepopulacaonegra.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2610,1,http://morbidity.crowdmap.com,2014-11-26 20:46:00,unknown,http://morbidity.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2608,1,https://10eylul.crowdmap.com,2014-11-26 20:46:00,unknown,https://10eylul.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2598,1,https://kd8bxp.crowdmap.com,2014-11-26 20:46:00,unknown,https://kd8bxp.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2595,1,http://amkprojects.crowdmap.com,2014-11-26 20:46:00,unknown,http://amkprojects.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2584,1,http://makercities.deanputney.com,2014-11-26 17:08:00,unknown,http://makercities.deanputney.com,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
2565,1,http://liairnoise.crowdmap.com,2014-11-26 17:08:00,unknown,http://liairnoise.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2558,1,https://testronnie.crowdmap.com,2014-11-26 17:08:00,unknown,https://testronnie.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2552,1,http://61.8.65.130/adinet,2014-11-26 17:08:00,unknown,http://61.8.65.130/adinet,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
2547,1,https://openforesteitaliane.crowdmap.com,2014-11-26 17:08:00,unknown,https://openforesteitaliane.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
2544,1,https://cyclistaccidents.crowdmap.com,2014-11-26 17:08:00,unknown,https://cyclistaccidents.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2545,1,https://inbi.crowdmap.com,2014-11-26 17:08:00,unknown,https://inbi.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2539,1,https://libyalibre.crowdmap.com,2014-11-26 17:08:00,unknown,https://libyalibre.crowdmap.com,"uncategorised,Crowdmap,large",0,0,,,,,,,,,,,,YES,NO
2536,1,https://urbankit.crowdmap.com,2014-11-26 17:08:00,unknown,https://urbankit.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
2534,1,https://songkhlatravel.crowdmap.com,2014-11-26 17:08:00,unknown,https://songkhlatravel.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
